frequency_hz,two_ray_los_db,two_ray_with_reflector_db,room_metal_db,room_concrete_db,room_foam_board_db
4000000000.0,-54.48898304844263,-49.963415248985754,-57.63839450096799,-60.332438165671405,-59.946321994338724
4002000000.0,-54.49332490788723,-49.91707570621923,-57.63839450096799,-60.332438165671405,-59.946321994338724
4004000000.0,-54.49766459802899,-49.875350224011,-57.63839450096799,-60.332438165671405,-59.946321994338724
4006000000.0,-54.50200212103452,-49.83819232268083,-57.63839450096799,-60.332438165671405,-59.946321994338724
4008000000.0,-54.506337479067156,-49.805560513528945,-57.63839450096799,-60.332438165671405,-59.946321994338724
4010000000.0,-54.51067067428702,-49.77741813659164,-57.63839450096799,-60.332438165671405,-59.946321994338724
4012000000.0,-54.51500170885098,-49.7537332188542,-57.63839450096799,-60.332438165671405,-59.946321994338724
4014000000.0,-54.51933058491271,-49.734478351799766,-57.63839450096799,-60.332438165671405,-59.946321994338724
4016000000.0,-54.52365730462263,-49.7196305873386,-57.63839450096799,-60.332438165671405,-59.946321994338724
4018000000.0,-54.527981870127974,-49.70917135131348,-57.63839450096799,-60.332438165671405,-59.946321994338724
4020000000.0,-54.532304283572785,-49.70308637391848,-57.63839450096799,-60.332438165671405,-59.946321994338724
4022000000.0,-54.53662454709783,-49.701365636501514,-57.63839450096799,-60.332438165671405,-59.946321994338724
4024000000.0,-54.5409426628408,-49.70400333434853,-57.63839450096799,-60.332438165671405,-59.946321994338724
4026000000.0,-54.54525863293608,-49.710997855168905,-57.63839450096799,-60.332438165671405,-59.946321994338724
4028000000.0,-54.54957245951498,-49.72235177312083,-57.63839450096799,-60.332438165671405,-59.946321994338724
4030000000.0,-54.55388414470556,-49.73807185833144,-57.63839450096799,-60.332438165671405,-59.946321994338724
4032000000.0,-54.55819369063275,-49.758169101983405,-57.63839450096799,-60.332438165671405,-59.946321994338724
4034000000.0,-54.562501099418306,-49.782658757156355,-57.63839450096799,-60.332438165671405,-59.946321994338724
4036000000.0,-54.56680637318083,-49.811560395730965,-57.63839450096799,-60.332438165671405,-59.946321994338724
4038000000.0,-54.57110951403578,-49.84489798178658,-57.63839450096799,-60.332438165671405,-59.946321994338724
4040000000.0,-54.57541052409547,-49.88269996205136,-57.63839450096799,-60.332438165671405,-59.946321994338724
4042000000.0,-54.579709405469075,-49.9249993741001,-57.63839450096799,-60.332438165671405,-59.946321994338724
4044000000.0,-54.58400616026264,-49.97183397313699,-57.63839450096799,-60.332438165671405,-59.946321994338724
4046000000.0,-54.58830079057908,-50.02324637835546,-57.63839450096799,-60.332438165671405,-59.946321994338724
4048000000.0,-54.592593298518224,-50.07928424003584,-57.63839450096799,-60.332438165671405,-59.946321994338724
4050000000.0,-54.59688368617675,-50.14000042871861,-57.63839450096799,-60.332438165671405,-59.946321994338724
4052000000.0,-54.60117195564823,-50.20545324799368,-57.63839450096799,-60.332438165671405,-59.946321994338724
4054000000.0,-54.605458109023175,-50.27570667266352,-57.63839450096799,-60.332438165671405,-59.946321994338724
4056000000.0,-54.60974214838896,-50.35083061427753,-57.63839450096799,-60.332438165671405,-59.946321994338724
4058000000.0,-54.61402407582992,-50.43090121630742,-57.63839450096799,-60.332438165671405,-59.946321994338724
4060000000.0,-54.61830389342726,-50.51600118152912,-57.63839450096799,-60.332438165671405,-59.946321994338724
4062000000.0,-54.622581603259135,-50.606220134511574,-57.63839450096799,-60.332438165671405,-59.946321994338724
4064000000.0,-54.626857207400626,-50.70165502248916,-57.63839450096799,-60.332438165671405,-59.946321994338724
4066000000.0,-54.631130707923774,-50.80241055831255,-57.63839450096799,-60.332438165671405,-59.946321994338724
4068000000.0,-54.63540210689751,-50.90859970964595,-57.63839450096799,-60.332438165671405,-59.946321994338724
4070000000.0,-54.63967140638778,-51.02034423911081,-57.63839450096799,-60.332438165671405,-59.946321994338724
4072000000.0,-54.643938608457425,-51.13777530067962,-57.63839450096799,-60.332438165671405,-59.946321994338724
4074000000.0,-54.648203715166275,-51.2610340982916,-57.63839450096799,-60.332438165671405,-59.946321994338724
4076000000.0,-54.65246672857114,-51.39027261343391,-57.63839450096799,-60.332438165671405,-59.946321994338724
4078000000.0,-54.6567276507258,-51.52565440928477,-57.63839450096799,-60.332438165671405,-59.946321994338724
4080000000.0,-54.66098648368097,-51.66735551998684,-57.63839450096799,-60.332438165671405,-59.946321994338724
4082000000.0,-54.66524322948441,-51.8155654347029,-57.63839450096799,-60.332438165671405,-59.946321994338724
4084000000.0,-54.66949789018082,-51.97048818732118,-57.63839450096799,-60.332438165671405,-59.946321994338724
4086000000.0,-54.673750467811956,-52.132343564039516,-57.63839450096799,-60.332438165671405,-59.946321994338724
4088000000.0,-54.6780009644165,-52.301368442548736,-57.63839450096799,-60.332438165671405,-59.946321994338724
